product_id,spu_id,sku_id,name,category,brand,model,price,original_price,stock,status,tags,selling_points,specs,warranty,return_policy,shipping_policy,after_sales,recommend_level,recommend_reason
P2001,SPU2001,SKU2001-01,星澜 X1 Pro 智能手机,手机数码,星澜科技,X1 Pro 12GB+256GB,2999,3399,128,on_sale,"5G;高刷屏;快充","120Hz AMOLED 屏幕，5000mAh 电池，支持 66W 快充","颜色:曜石黑;内存:12GB+256GB;屏幕:6.7英寸;充电:66W","整机 1 年保修，电池 6 个月保修","支持 7 天无理由退货，激活后非质量问题不支持退货","现货商品 24-48 小时发货，满 99 元包邮","质量问题支持检测换新或维修",A,"手机咨询频率高，适合展示参数、库存、售后政策"
P2002,SPU2001,SKU2001-02,星澜 X1 Pro 智能手机,手机数码,星澜科技,X1 Pro 12GB+512GB,3299,3699,76,on_sale,"5G;高刷屏;大存储","大容量存储版本，适合拍照和视频用户","颜色:月光银;内存:12GB+512GB;屏幕:6.7英寸;充电:66W","整机 1 年保修，电池 6 个月保修","支持 7 天无理由退货，激活后非质量问题不支持退货","现货商品 24-48 小时发货，满 99 元包邮","质量问题支持检测换新或维修",A,"可用于测试同一 SPU 下不同 SKU 的追问能力"
P2003,SPU2002,SKU2002-01,云听 AirBuds 5 无线耳机,影音娱乐,云听,AirBuds 5,399,499,320,on_sale,"主动降噪;蓝牙5.3;轻量","支持 42dB 主动降噪，单次续航约 7 小时","颜色:珍珠白;连接:蓝牙5.3;续航:7小时+充电盒28小时;防水:IPX4","主机 1 年保修，耳塞配件不单独保修","未拆封支持 7 天无理由，已拆封因卫生原因非质量问题不支持退货","24 小时内发货，默认普通快递","质量问题支持 15 天换新",A,"耳机适合测试拆封退货和售后边界"
P2004,SPU2003,SKU2003-01,跃动 Watch S3 智能手表,智能穿戴,跃动科技,Watch S3 42mm,899,1099,95,on_sale,"健康监测;GPS;NFC","支持心率、血氧、睡眠监测，内置 GPS 和 NFC","表径:42mm;颜色:星夜黑;续航:10天;防水:5ATM","整机 1 年保修，表带 3 个月保修","支持 7 天无理由退货，明显佩戴痕迹可能影响退货","48 小时内发货，偏远地区时效顺延","质量问题支持检测维修或换新",A,"适合商品详情、保修、佩戴痕迹退货问答"
P2005,SPU2004,SKU2004-01,极充 20000mAh 移动电源,手机配件,极充,GC-20K,129,169,860,on_sale,"快充;大容量;便携","20000mAh 大容量，支持 22.5W 双向快充","容量:20000mAh;输入:Type-C;输出:USB-A/Type-C;功率:22.5W","整机 1 年保修","支持 7 天无理由退货，外观磨损影响二次销售不支持","24 小时内发货，满 99 元包邮","质量问题支持换新",B,"低价高库存商品，适合右侧推荐和库存咨询"
P2006,SPU2005,SKU2005-01,青轴机械键盘 K870T,电脑办公,森木外设,K870T 青轴,399,459,210,on_sale,"机械轴;87键;背光","87 键布局，PBT 键帽，支持多档白色背光","轴体:青轴;布局:87键;连接:有线Type-C;键帽:PBT","整机 1 年保修，键帽不在保修范围内","支持 7 天无理由退货，人为损坏不支持","48 小时内发货","质量问题支持维修或换新",B,"适合测试规格参数、轴体差异和售后说明"
P2007,SPU2005,SKU2005-02,茶轴机械键盘 K870T,电脑办公,森木外设,K870T 茶轴,399,459,188,on_sale,"机械轴;87键;办公","茶轴手感均衡，适合办公和轻游戏场景","轴体:茶轴;布局:87键;连接:有线Type-C;键帽:PBT","整机 1 年保修，键帽不在保修范围内","支持 7 天无理由退货，人为损坏不支持","48 小时内发货","质量问题支持维修或换新",B,"可用于测试同款不同轴体的追问"
P2008,SPU2006,SKU2006-01,松禾 500ml 保温杯,生活家居,松禾,SH-500,49,69,1500,on_sale,"316不锈钢;保温;便携","316 不锈钢内胆，保温约 12 小时","容量:500ml;颜色:雾霾蓝;材质:316不锈钢;保温:12小时","杯体 6 个月保修，易耗配件不保修","未使用支持 7 天无理由，使用后非质量问题不支持退货","24 小时内发货","质量问题支持补发配件或换新",C,"稳定低售后商品，适合填充推荐区"
P2009,SPU2007,SKU2007-01,净源桌面空气净化器 A2,生活电器,净源,A2,699,899,64,on_sale,"除醛;静音;滤芯提醒","适合卧室和办公桌面使用，支持滤芯寿命提醒","适用面积:15-25㎡;噪音:低至28dB;滤芯:HEPA复合滤芯;功率:35W","整机 1 年保修，滤芯为耗材不保修","支持 7 天无理由退货，滤芯拆封使用后不支持退货","48 小时内发货","质量问题支持维修或换新",A,"适合测试耗材类售后和滤芯追问"
P2010,SPU2008,SKU2008-01,悦眠记忆棉枕 Z2,家纺寝具,悦眠,Z2,159,229,430,on_sale,"记忆棉;护颈;慢回弹","分区支撑设计，适合侧睡和仰睡用户","尺寸:60x35x10cm;材质:记忆棉;枕套:可拆洗;硬度:中等","枕芯 6 个月保修，枕套 3 个月保修","个人贴身用品，拆封使用后非质量问题不支持退货","24-48 小时发货","质量问题支持换新",B,"适合测试贴身用品退货限制"
